id,name,latitude,longitude,name_mm,road,township
658,Set Hmu Zone Zay,16.838777,96.232492,စက်မှုဇုံဈေး,Pyi Htaung Su Main Road,South Dagon
659,Shwe Taung Kyar Lan,16.834072,96.234116,ရွှေတောင်ကြားလမ်း,Pyi Htaung Su Main Road,South Dagon
660,Shwe Taung Kyar Lan,16.834378,96.23405,ရွှေတောင်ကြားလမ်း,Pyi Htaung Su Main Road,South Dagon
661,Sittaung Lan Htate,16.831646,96.234318,စစ်တောင်းလမ်းထိပ်,Pyi Htaung Su Main Road,South Dagon
662,Sittaung Lan Htate,16.831916,96.234186,စစ်တောင်းလမ်းထိပ်,Pyi Htaung Su Main Road,South Dagon
663,Thein Kyaung,16.837947,96.243789,သိမ်ကျောင်း,Ayar Wun Main Road,Thaketa
664,Thein Kyaung,16.83858,96.24387,သိမ်ကျောင်း,Ayar Wun Main Road,Thaketa
666,Thein Kyaung,16.838175,96.244158,သိမ်ကျောင်း,Ayar Wun Main Road,Thaketa
667,Thitsar,16.845669,96.232836,သစ္စာ,Hlawga Road,Shwe Pyithar
668,Thitsar,16.845891,96.232927,သစ္စာ,Hlawga Road,Shwe Pyithar
673,Tadar Phyu,16.857555,96.212463,တံတားဖြူ,No. 2 Main Road,South Dagon
674,Tadar Phyu,16.857583,96.212415,တံတားဖြူ,No. 2 Main Road,South Dagon
675,Taung Myauk Lan Sone,16.861558,96.213489,တောင်/မြောက်လမ်းဆုံ,Pyi Htaung Su Main Road,North Dagon
676,Taung Myauk Lan Sone,16.861616,96.213544,တောင်/မြောက်လမ်းဆုံ,Pyi Htaung Su Main Road,North Dagon
677,Taung Myauk Lan Sone,16.858666,96.214548,တောင်/မြောက်လမ်းဆုံ,Pyi Htaung Su Main Road,South Dagon
678,Taung Myauk Lan Sone,16.858706,96.214641,တောင်/မြောက်လမ်းဆုံ,Pyi Htaung Su Main Road,South Dagon
679,Taung Myauk Lan Sone,16.862961,96.216418,တောင်/မြောက်လမ်းဆုံ,No. 2 Main Road,South Dagon
680,Taung Myauk Lan Sone,16.863033,96.216406,တောင်/မြောက်လမ်းဆုံ,No. 2 Main Road,South Dagon
681,Than Lan,16.854748,96.214781,သံလမ်း,Pyi Htaung Su Main Road,South Dagon
682,Than Lan,16.854733,96.214847,သံလမ်း,Pyi Htaung Su Main Road,South Dagon
