id,route_number,route_name,description,color
37-Hlegu,37-Hlegu,Hlegu Tar Sone – Nyaung Pin Lay Zay,(၃၇ လှည်းကူး) ဆူးလေ - လှည်းကူး,405CAA
37-Hmawbi,37-Hmawbi,G.T.C Alal Pauk – Chauk Htat Yone,(၃၇ မှော်ဘီ) ဆူးလေ - မှော်ဘီ,405CAA
37-HtaukKyant,37-HtaukKyant,Gate Haung – Chauk Htat Yone,(၃၇ ထောက်ကြန့်) ဆူးလေ - ထောက်ကြန့်,405CAA
37-Okekan,37-Okekan,Okkan – Chauk Htat Yone,(၃၇ ဥက္ကံ) ဆူးလေ - ဥက္ကံ,405CAA
37-Waryarlatt,37-Waryarlatt,Waryar Let – Lan Thone Sae,(၃၇ ဝါယာလက်) ဆူးလေ - ဝါယာလက်,405CAA
3A,3A,Sae-Tit Lan – Sule Pan Chan,(၃ တာမွေ) ယုဇနဥယျာဉ်မြို့တော် - မင်္ဂလာစျေး - လမ်း၅၀,DF504E
3B,3B,Sae-Tit Lan – Sule Myodaw Khan Ma,(၃ သုဝဏ္ဏစျေး) ယုဇနဥယျာဉ်မြို့တော် - လမ်း၅၀,DF504E
60-Mini,60-Mini,Padauk Chaung/Thiri Mingalar Market – Sauk Lote Yae,(၆၀ မီနီ) တောင်ဒဂုံ - ကျောက်ကုန်း,2C8A6C
64A,64A,Waibargi – Baho Yone,(၆၄ သုဓမ္မာလမ်း) ဝေဘာဂီ - နန်းသီတာဆိပ်ကမ်း,DF504E
64B,64B,Waibargi – Baho Yone,(၆၄ ခေမာသီလမ်း) ဝေဘာဂီ - နန်းသီတာဆိပ်ကမ်း,DF504E
65A,65A,Auk Gate – Lin Sadaung,(၆၅ ပုလဲလမ်း) ဗိုလ်တထောင်ဘုရား - ရွှေပြည်သာ,405CAA
65B,65B,Auk Gate – Lin Sadaung,(၆၅ ဗိုလ်ချုပ်အောင်ဆန်းလမ်း) ဗိုလ်တထောင်ဘုရား - ရွှေပြည်သာ,405CAA
6A,6A,Thein Kyaung – Dagon Ayar A Way Pyay,(၆-က) တောင်ဒဂုံ သိမ်ချောင်း - လှိုင်သာယာ,DF504E
6B,6B,Yone Shae – Dagon Ayar A Way Pyay,(၆-ခ) တောင်ဒဂုံ (၇၀/၇၁) ဈေး - လှိုင်သာယာ,DF504E
